meanBitLifeTimePerPacket:vector TS_network.sink1.app[0].sink (#0 - General-0-20250518-12:02:52-15739),,meanBitLifeTimePerPacket:vector TS_network.sink4.app[0].sink (#0 - General-0-20250518-12:02:52-15739),,meanBitLifeTimePerPacket:vector TS_network.sink2.app[0].sink (#0 - General-0-20250518-12:02:52-15739),,meanBitLifeTimePerPacket:vector TS_network.sink3.app[0].sink (#0 - General-0-20250518-12:02:52-15739),,meanBitLifeTimePerPacket:vector TS_network.sink3.app[1].sink (#0 - General-0-20250518-12:02:52-15739),
0.000012358064,0.000012358063999999,0.000022982173,0.000017782223999999,0.000033682064,0.000023281959999999,0.000144380713,0.000028781405999999,0.000028781753,0.000028781753
0.000162283288,0.000012284336999999,0.000172983373,0.000017784923999999,0.000133682264,0.00002328116,0.000444378013,0.000028780505999999,0.000128780853,0.000028781151999999
0.000312284488,0.000012286586999999,0.000322984573,0.000017787623999999,0.000233682464,0.000023280359999999,0.000744375313,0.000028779606,0.000228779953,0.000028780551999999
0.000462285688,0.000012288836999999,0.000472985773,0.000017790323999999,0.000333682664,0.000023279559999999,0.001044372613,0.000028778705999999,0.000328779053,0.000028779952
0.000612286888,0.000012291086999999,0.000622986973,0.000017793023999999,0.000433682864,0.000023278759999999,0.00134438124,0.000028781641999999,0.000428778153,0.000028779351999999
0.000762288088,0.000012293336999999,0.000772988173,0.000017795723999999,0.000533683064,0.00002327796,0.00164437854,0.000028780741999999,0.000528777253,0.000028778751999999
0.000912289288,0.000012295586999999,0.000922989373,0.000017798424,0.000633683264,0.000023277159999999,0.00194437584,0.000028779841999999,0.000628776353,0.000028778151999999
0.001062290488,0.000012297837,0.001072990573,0.000017801124,0.000733683464,0.000023276359999999,0.00224437314,0.000028778941999999,0.000728775453,0.000028777551999999
0.001212291688,0.000012300086999999,0.001222991773,0.000017803823999999,0.000833683664,0.000023275559999999,0.00254437044,0.000028778041999999,0.000828774553,0.000028776952
0.001362282852,0.000012283564,0.001372982937,0.000017784002999999,0.000933683864,0.00002327476,0.00284436774,0.000028777142,0.000928773653,0.000028776351999999
0.001512284052,0.000012285813999999,0.001522984137,0.000017786702999999,0.001033684064,0.000023273959999999,0.00314436504,0.000028776241999999,0.001028772753,0.000028775751999999
0.001662285252,0.000012288063999999,0.001672985337,0.000017789402999999,0.001133684264,0.000023273159999999,0.00344436234,0.000028775341999999,0.001128771853,0.000028775151999999
0.001812286452,0.000012290313999999,0.001822986537,0.000017792102999999,0.001233684464,0.00002327236,0.00374435964,0.000028774441999999,0.001228770953,0.000028774551999999
0.001962287652,0.000012292563999999,0.001972987737,0.000017794802999999,0.001333682157,0.000023281538999999,0.00404435694,0.000028773541999999,0.00132878138,0.000028781533999999
0.002112288852,0.000012294813999999,0.002122988937,0.000017797502999999,0.001433682357,0.000023280738999999,0.00434435424,0.000028772641999999,0.00142878048,0.000028780934
0.002262290052,0.000012297063999999,0.002272990137,0.000017800203,0.001533682557,0.000023279939,0.00464435154,0.000028771741999999,0.00152877958,0.000028780333999999
0.002412291252,0.000012299313999999,0.002422991337,0.000017802903,0.001633682757,0.000023279138999999,0.00494434884,0.000028770842,0.00162877868,0.000028779733999999
0.002562292452,0.000012301563999999,0.002572992537,0.000017805602999999,0.001733682957,0.000023278338999999,0.00524434614,0.000028769941999999,0.00172877778,0.000028779133999999
0.002712293652,0.000012303814,0.002722993737,0.000017808302999999,0.001833683157,0.000023277538999999,0.00554434344,0.000028769041999999,0.00182877688,0.000028778533999999
0.002862294852,0.000012306063999999,0.002872994937,0.000017811002999999,0.001933683357,0.000023276739,0.00584434074,0.000028768142,0.00192877598,0.000028777934
0.003012296052,0.000012308314,0.003022996137,0.000017813702999999,0.002033683557,0.000023275938999999,0.00614433804,0.000028767241999999,0.00202877508,0.000028777333999999
0.003162297252,0.000012310563999999,0.003172997337,0.000017816402999999,0.002133683757,0.000023275138999999,0.00644433534,0.000028766341999999,0.00212877418,0.000028776733999999
0.003312298452,0.000012312814,0.003322998537,0.000017819102999999,0.002233683957,0.000023274338999999,0.00674433264,0.000028765441999999,0.00222877328,0.000028776133999999
0.003462299652,0.000012315063999999,0.003472999737,0.000017821803,0.002333684157,0.000023273538999999,0.00704432994,0.000028764542,0.00232877238,0.000028775533999999
0.003612300852,0.000012317313999999,0.003623000937,0.000017824503,0.002433684357,0.000023272738999999,0.00734432724,0.000028763641999999,0.00242877148,0.000028774934
0.003762302052,0.000012319563999999,0.003773002137,0.000017827202999999,0.002533684557,0.000023271938999999,0.00764432454,0.000028762741999999,0.00252877058,0.000028774333999999
0.003912303252,0.000012321813999999,0.003923003337,0.000017829902999999,0.002633684757,0.000023271139,0.00794432184,0.000028761842,0.00262876968,0.000028773733999999
0.004062304452,0.000012324063999999,0.004073004537,0.000017832602999999,0.002733684957,0.000023270338999999,0.00824431914,0.000028760941999999,0.00272876878,0.000028773133999999
0.004212305652,0.000012326313999999,0.004223005737,0.000017835302999999,0.002833685157,0.000023269538999999,0.00854431644,0.000028760041999999,0.00282876788,0.000028772533999999
0.004362306852,0.000012328564,0.004373006937,0.000017838002999999,0.002933685357,0.000023268738999999,0.00884431374,0.000028759141999999,0.00292876698,0.000028771934
0.004512308052,0.000012330813999999,0.004523008137,0.000017840702999999,0.003033685557,0.000023267939,0.00914431104,0.000028758242,0.00302876608,0.000028771333999999
0.004662309252,0.000012333064,0.004673009337,0.000017843403,0.003133685757,0.000023267138999999,0.00944430834,0.000028757341999999,0.00312876518,0.000028770733999999
