StreamID,Route,Periodicity_us_,Payload_Bytes_,MinE2ELatency_us_,AnalyticalMinE2ELatency_us_,AnalyticalMaxE2ELatency_us_,MeasuredMinE2ELatency_us_,MeasuredMaxE2ELatency_us_,Jitter_us_,DeviceCount
1,"source5,switch2,switch3,sink1",150,100,6.95,9.45,14.65,12.08,13.96,1.87,3
2,"source2,switch1,switch2,switch3,sink4",150,100,9.78,14.78,20.08,17.48,19.73,2.25,4
3,"source4,switch1,switch2,switch3,switch4,sink2",100,100,12.61,20.11,25.51,21.88,22.88,1,5
4,"source1,switch1,switch2,switch3,switch4,switch5,sink3",300,100,15.44,25.44,30.94,27.91,28.28,0.37,6
5,"source3,switch1,switch2,switch3,switch4,switch5,sink3",100,100,15.44,25.44,30.94,27.53,28.28,0.75,6
