Source,SourcePort,Destination,DestinationPort,RoutesIncluded
switch1,0,switch2,0,"4, 5, 6, 7"
switch2,1,switch3,0,"2, 4, 5, 6, 7"
switch3,1,switch4,0,"3, 6, 7"
switch3,2,sink1,0,"1, 2"
switch3,3,sink4,0,"4, 5"
switch4,1,switch5,0,3
switch4,2,sink2,0,"6, 7"
switch5,1,sink3,0,3
source1,0,switch1,1,5
source2,0,switch1,2,"4, 6"
source3,0,switch1,3,7
source4,0,switch2,2,2
source5,0,switch3,4,"1, 3"
GM1,0,switch2,3,0
