meanBitLifeTimePerPacket:vector TS_network.sink1.app[0].sink (#0 - General-0-20250603-14:38:27-10566),,meanBitLifeTimePerPacket:vector TS_network.sink4.app[0].sink (#0 - General-0-20250603-14:38:27-10566),,meanBitLifeTimePerPacket:vector TS_network.sink2.app[0].sink (#0 - General-0-20250603-14:38:27-10566),,meanBitLifeTimePerPacket:vector TS_network.sink3.app[0].sink (#0 - General-0-20250603-14:38:27-10566),,meanBitLifeTimePerPacket:vector TS_network.sink3.app[1].sink (#0 - General-0-20250603-14:38:27-10566),
0.000012082086,0.000012082085999999,0.00002258217,0.00001748222,0.000033082063,0.000022881960999999,0.00014358072,0.000028281411,0.000028281758,0.000028281757999999
0.000162083286,0.000012084334999999,0.00017258337,0.00001748492,0.000133082263,0.000022881161,0.00044357802,0.000028280510999999,0.000128280858,0.000028281156999999
0.000312084486,0.000012086584999999,0.00032258457,0.000017487619999999,0.000233082463,0.000022880360999999,0.00074357532,0.000028279610999999,0.000228279958,0.000028280556999999
0.000462085686,0.000012088834999999,0.00047258577,0.000017490319999999,0.000333082663,0.000022879560999999,0.00104357262,0.000028278711,0.000328279058,0.000028279956999999
0.000612086886,0.000012091084999999,0.00062258697,0.000017493019999999,0.000433082863,0.000022878760999999,0.00134358126,0.00002828166,0.000428278158,0.000028279357
0.000762088086,0.000012093335,0.00077258817,0.000017495719999999,0.000533083063,0.000022877961,0.00164357856,0.000028280759999999,0.000528277258,0.000028278757
0.000912089286,0.000012095584999999,0.00092258937,0.000017498419999999,0.000633083263,0.000022877160999999,0.00194357586,0.000028279859999999,0.000628276358,0.000028278156999999
0.001062090486,0.000012097835,0.00107259057,0.000017501119999999,0.000733083463,0.000022876360999999,0.00224357316,0.000028278959999999,0.000728275458,0.000028277556999999
0.001212091686,0.000012100084999999,0.00122259177,0.00001750382,0.000833083663,0.000022875561,0.00254357046,0.00002827806,0.000828274558,0.000028276956999999
0.001362082863,0.000012083574999999,0.001372582947,0.000017484011999999,0.000933083863,0.000022874760999999,0.00284356776,0.000028277159999999,0.000928273658,0.000028276357
0.001512084063,0.000012085825,0.001522584147,0.000017486711999999,0.001033084063,0.000022873960999999,0.00314356506,0.000028276259999999,0.001028272758,0.000028275757
0.001662085263,0.000012088074999999,0.001672585347,0.000017489411999999,0.001133084263,0.000022873160999999,0.00344356236,0.00002827536,0.001128271858,0.000028275156999999
0.001812086463,0.000012090325,0.001822586547,0.000017492112,0.001233084463,0.000022872361,0.00374355966,0.000028274459999999,0.001228270958,0.000028274556999999
0.001962087663,0.000012092574999999,0.001972587747,0.000017494812,0.001333082169,0.000022881552999999,0.00404355696,0.000028273559999999,0.001328281398,0.000028281551999999
0.002112088863,0.000012094824999999,0.002122588947,0.000017497511999999,0.001433082369,0.000022880752999999,0.00434355426,0.000028272659999999,0.001428280498,0.000028280951999999
0.002262090063,0.000012097074999999,0.002272590147,0.000017500211999999,0.001533082569,0.000022879952999999,0.00464355156,0.000028271759999999,0.001528279598,0.000028280351999999
0.002412091263,0.000012099324999999,0.002422591347,0.000017502911999999,0.001633082769,0.000022879153,0.00494354886,0.000028270859999999,0.001628278698,0.000028279751999999
0.002562092463,0.000012101574999999,0.002572592547,0.000017505611999999,0.001733082969,0.000022878352999999,0.00524354616,0.000028269959999999,0.001728277798,0.000028279152
0.002712093663,0.000012103824999999,0.002722593747,0.000017508311999999,0.001833083169,0.000022877552999999,0.00554354346,0.00002826906,0.001828276898,0.000028278551999999
0.002862094863,0.000012106075,0.002872594947,0.000017511011999999,0.001933083369,0.000022876752999999,0.00584354076,0.000028268159999999,0.001928275998,0.000028277951999999
0.003012096063,0.000012108324999999,0.003022596147,0.000017513712,0.002033083569,0.000022875953,0.00614353806,0.000028267259999999,0.002028275098,0.000028277351999999
0.003162097263,0.000012110575,0.003172597347,0.000017516411999999,0.002133083769,0.000022875152999999,0.00644353536,0.00002826636,0.002128274198,0.000028276751999999
0.003312098463,0.000012112824999999,0.003322598547,0.000017519111999999,0.002233083969,0.000022874352999999,0.00674353266,0.000028265459999999,0.002228273298,0.000028276152
0.003462099663,0.000012115075,0.003472599747,0.000017521811999999,0.002333084169,0.000022873552999999,0.00704352996,0.000028264559999999,0.002328272398,0.000028275551999999
0.003612100863,0.000012117324999999,0.003622600947,0.000017524511999999,0.002433084369,0.000022872753,0.00734352726,0.000028263659999999,0.002428271498,0.000028274951999999
0.003762102063,0.000012119574999999,0.003772602147,0.000017527211999999,0.002533084569,0.000022871952999999,0.00764352456,0.00002826276,0.002528270598,0.000028274351999999
0.003912103263,0.000012121824999999,0.003922603347,0.000017529911999999,0.002633084769,0.000022871152999999,0.00794352186,0.000028261859999999,0.002628269698,0.000028273751999999
0.004062104463,0.000012124074999999,0.004072604547,0.000017532612,0.002733084969,0.000022870352999999,0.00824351916,0.000028260959999999,0.002728268798,0.000028273152
0.004212105663,0.000012126324999999,0.004222605747,0.000017535312,0.002833085169,0.000022869553,0.00854351646,0.00002826006,0.002828267898,0.000028272551999999
0.004362106863,0.000012128574999999,0.004372606947,0.000017538011999999,0.002933085369,0.000022868752999999,0.00884351376,0.000028259159999999,0.002928266998,0.000028271951999999
0.004512108063,0.000012130824999999,0.004522608147,0.000017540711999999,0.003033085569,0.000022867952999999,0.00914351106,0.000028258259999999,0.003028266098,0.000028271351999999
0.004662109263,0.000012133074999999,0.004672609347,0.000017543411999999,0.003133085769,0.000022867153,0.00944350836,0.000028257359999999,0.003128265198,0.000028270751999999
